Sphingopyxis_sp._113P3
Sphingopyxis_sp._LC363
Sphingopyxis_sp._C-1
Sphingopyxis_macrogoltabida_203
Sphingopyxis_sp._KK2
Sphingopyxis_witflariensis_DSM_14551
Sphingopyxis_sp._H038
Sphingopyxis_sp._H050
Sphingopyxis_alaskensis_RB2256
Sphingopyxis_sp._P1IMeth2
Sphingopyxis_sp._H073
Sphingopyxis_sp._MC1
Sphingopyxis_sp._Root154
Sphingopyxis_granuli_TFA
Sphingopyxis_sp._H012
Sphingopyxis_sp._A083
Sphingopyxis_sp._H080
Sphingopyxis_sp._QXT-31
Sphingopyxis_terrae_NBRC_15098
Sphingopyxis_sp._HIX
Sphingopyxis_fribergensis_Kp5.2
Sphingopyxis_sp._H053
Sphingopyxis_pomeranensis_WS5A3p
Sphingopyxis_sp._H081
Sphingopyxis_sp._Root214
Sphingopyxis_sp._Root1497
Sphingopyxis_sp._H071
Sphingopyxis_sp._H085
Sphingopyxis_sp._H115
Sphingopyxis_sp._H057
Sphingopyxis_sp._H005
Sphingopyxis_sp._YR583
Sphingopyxis_sp._GW247-27LB
Sphingopyxis_ummariensis_UI2
Sphingopyxis_indica_DS15
Sphingopyxis_sp._HXXIV
Sphingopyxis_bauzanensis_DSM_22271
Sphingopyxis_sp._LC81
Sphingopyxis_sp._H093
Sphingopyxis_sp._H077
Sphingopyxis_flava_R11H
Sphingopyxis_sp._H107
Sphingopyxis_sp._H100
Sphingopyxis_sp._H067
